empid,basic_salary,grade_pay,DA,home_rent,convience_allowance,absent,earned_leave,casual_leave,maternity_leave,washing_allowance
EMP00049,46397,3171,19885,11123,1643,0,5,4,0,333
EMP00050,19343,2173,10980,3594,1602,1,11,10,0,311
EMP00051,30648,4160,13360,8173,1882,4,14,0,0,357
EMP00052,32532,2639,18198,5803,820,0,5,4,0,477
EMP00053,17367,2936,7720,3236,1757,4,5,0,42,449
EMP00054,30058,3021,15625,5704,940,2,12,0,0,376
EMP00055,29055,3287,11594,7389,1030,4,10,8,0,583
EMP00056,36212,1931,20596,10684,1978,5,11,1,0,414
EMP00057,30597,3242,11334,6089,1465,0,11,3,0,576
EMP00058,28185,4328,10989,7117,923,4,8,6,0,311
EMP00059,49600,1001,18907,14321,1960,4,3,5,0,485
EMP00060,44896,2131,15355,11287,1153,1,4,1,0,537
EMP00061,47508,4407,15096,8740,1563,0,9,0,0,566
EMP00062,16803,2890,6675,4277,863,4,3,0,0,564
EMP00063,36584,4196,21489,7259,981,5,4,5,0,573
EMP00064,16317,1443,9438,3317,1979,1,5,1,0,319
EMP00065,27859,1887,10045,4501,1756,5,5,5,0,454
EMP00066,47047,4355,27394,10777,1344,2,8,0,0,565
EMP00067,42759,3331,15761,7185,1133,4,6,6,0,559
EMP00068,44988,2322,19070,8504,1585,4,4,9,0,504
EMP00069,23143,2434,8992,3238,1945,1,13,10,0,422
EMP00070,38577,3941,21646,10243,1240,4,9,1,0,441
EMP00071,48979,4293,15505,7131,1513,1,4,0,0,548
EMP00072,22386,4359,7304,3541,901,5,3,5,0,311
EMP00073,25087,2347,14855,6587,1042,1,9,3,0,588
EMP00074,42431,4464,22812,8815,1139,3,4,0,0,498
EMP00075,19336,1014,11281,4862,1578,2,1,1,0,334
EMP00076,16873,4230,8540,3650,1526,0,1,7,0,300
EMP00077,27781,1574,10139,3132,1298,1,0,8,0,392
EMP00078,47289,2081,16565,8246,1123,3,12,2,0,433
EMP00079,24449,1451,10353,2897,1967,3,11,5,0,490
EMP00080,40123,4693,23041,9088,1337,0,14,3,0,351
EMP00081,19752,3970,8036,2503,1914,5,10,10,0,529
EMP00082,19427,1839,7213,5122,1394,0,8,1,0,546
EMP00083,40112,1092,13324,9599,1602,2,15,3,0,589
EMP00084,27399,4537,14683,8016,1804,2,13,5,0,549
EMP00085,18074,1405,9491,5368,1621,4,10,1,0,412
EMP00086,38626,2849,18045,10423,1970,5,0,0,0,600
EMP00087,29829,1962,17217,8335,801,3,11,8,0,397
EMP00088,15235,4595,5412,2473,1756,0,6,8,139,497
EMP00089,39136,2507,15194,4120,901,2,9,3,0,434
EMP00090,46510,3646,24362,9556,1048,4,8,5,0,358
EMP00091,42232,1362,18181,9364,1044,2,4,1,0,398
EMP00092,34212,2363,13335,9971,1298,0,6,8,0,490
EMP00093,27703,3120,11051,5495,1019,2,13,0,0,374
EMP00094,44328,3325,16405,8203,1456,2,13,1,0,343
EMP00095,20014,2720,6968,5269,1298,5,7,8,0,367
EMP00096,47973,1682,22335,5211,1827,1,6,6,0,319
EMP00097,23566,2139,9814,3669,1412,1,7,5,0,424
EMP00098,22193,3765,7919,5329,1596,1,10,9,0,464
EMP00099,39818,2016,19167,5827,921,4,14,5,0,429
EMP00100,33903,4365,20067,9297,943,5,9,4,0,371
EMP00101,28738,1288,16985,4576,1240,1,7,0,0,599
EMP00102,28834,4084,9555,6135,1314,3,8,9,0,407
EMP00103,28449,2653,12847,4345,1605,1,9,10,0,509
EMP00104,40999,2022,18503,7221,1868,3,3,2,0,398
EMP00105,29052,4216,15387,3726,1157,2,0,8,0,317
EMP00106,35645,3889,16796,5201,1266,0,12,1,0,556
EMP00107,20853,3419,12413,4464,1233,3,14,1,0,589
EMP00108,24687,3109,14179,4942,1324,3,12,10,0,502
EMP00109,43838,4045,20726,6653,1010,0,8,2,0,461
EMP00110,17252,3665,9593,5124,1399,3,6,9,0,482
EMP00111,44208,1661,14177,10752,1168,5,2,7,0,435
EMP00112,25030,2827,8756,5486,1427,5,12,5,0,476
EMP00113,45079,2236,27009,7112,1460,1,9,3,0,319
EMP00114,42502,3695,18870,12314,1658,2,12,2,0,354
EMP00115,29043,4391,12388,3203,1278,2,0,5,0,440
EMP00116,23111,4017,10203,5017,989,3,9,9,0,402
EMP00117,43056,1543,13104,6725,1865,0,7,6,0,348
EMP00118,22194,1973,9920,5375,1405,1,7,9,0,589
EMP00119,42601,4022,20783,8307,1650,5,9,8,0,501
EMP00120,18462,1279,9830,2347,1620,4,3,9,0,391
EMP00121,34833,3540,20545,9690,1716,4,10,9,0,535
EMP00122,16347,1493,6584,3524,1572,0,3,10,154,558
EMP00123,37412,1927,16355,6590,1864,3,0,10,0,443
EMP00124,18321,3693,10099,3856,1415,3,6,9,0,535
EMP00125,21624,2877,12311,4550,1496,4,6,2,0,502
EMP00126,47517,4283,21397,11677,1404,2,15,1,0,315
EMP00127,16029,3322,6635,2649,1139,0,7,0,0,358
EMP00128,40239,3895,16431,5711,1703,5,7,10,0,338
EMP00129,17707,1259,9349,4749,1225,3,9,9,0,523
EMP00130,31090,4367,10067,3402,1064,5,0,8,0,424
EMP00131,34747,1701,12698,7526,1413,1,3,10,0,314
EMP00132,27701,4182,10936,4184,1747,2,13,7,0,490
EMP00133,26689,2576,9354,2983,1657,1,13,9,0,356
EMP00134,20366,3615,9160,5653,1165,1,15,0,0,597
EMP00135,18339,2911,7213,2799,1317,5,3,7,0,461
EMP00136,28223,1242,16169,8372,1761,4,11,4,0,318
EMP00137,35859,3080,15101,7316,1537,0,2,10,0,441
EMP00138,41585,1854,15394,6072,876,3,12,7,0,479
EMP00139,48558,3750,21519,5927,1852,1,5,8,0,408
EMP00140,16952,4146,8990,2807,1835,2,14,2,0,423
EMP00141,48131,3262,23440,13088,1363,1,7,4,0,470
EMP00142,29309,1875,10165,5700,1977,1,15,10,0,335
EMP00143,23004,3613,8955,2489,1041,2,11,7,0,537
EMP00144,29396,2080,10679,6371,1813,3,2,3,0,460
EMP00145,48995,1030,18533,8401,1199,1,3,5,0,504
EMP00146,48347,1643,17263,10779,1694,0,13,1,0,360
EMP00147,39282,1018,12669,6499,1062,0,5,0,0,547
EMP00148,39769,4146,20196,8242,969,1,11,4,0,401
EMP00149,26504,1302,10816,7323,1708,4,7,3,0,304
EMP00150,41732,4860,17535,5662,1544,0,2,1,0,408
EMP00151,28539,3420,13261,4254,1267,3,15,7,0,586
EMP00152,40454,1959,19932,5507,810,1,8,7,0,505
EMP00153,15325,1808,5808,4189,1944,5,13,4,0,397
EMP00154,18937,2644,7218,4394,1006,4,6,3,0,322
EMP00155,26085,4895,15196,5093,1731,0,1,3,0,431
EMP00156,38640,3587,14747,8868,1736,0,12,4,0,442
EMP00157,21654,2676,10091,5252,1177,4,5,5,0,330
EMP00158,46024,4025,15994,7207,1158,2,5,4,0,524
EMP00159,47932,4823,18847,11682,895,0,11,6,0,433
EMP00160,24358,2632,10985,2553,1338,2,11,0,0,508
EMP00161,46886,3925,18263,8845,1133,2,11,7,0,401
EMP00162,31322,3433,15663,6772,1553,0,4,1,0,517
EMP00163,26215,4236,13794,5331,1763,1,2,4,0,532
EMP00164,16338,1057,9550,4591,1075,3,4,4,85,585
EMP00165,47881,2994,28624,9671,1270,5,1,5,0,362
EMP00166,43007,1730,19450,4691,1935,3,4,6,0,569
EMP00167,17367,4908,9589,4363,1366,3,11,3,0,341
EMP00168,26268,1928,10906,5087,1334,4,5,6,0,577
EMP00169,32169,4601,13420,9095,1093,5,15,10,0,383
EMP00170,26480,2518,12425,4779,1781,0,12,8,0,417
EMP00171,34933,2465,15994,5310,1295,4,4,1,76,594
EMP00172,27923,1311,10457,6718,1986,4,1,4,0,434
EMP00173,16169,2236,5458,1873,1675,5,15,1,0,446
EMP00174,36951,2037,12194,6694,1963,0,4,10,0,485
EMP00175,28540,3485,13425,5697,816,1,13,5,0,496
EMP00176,35355,2144,12006,10592,1521,0,14,10,0,562
EMP00177,31097,3990,15386,7758,808,3,2,7,0,410
EMP00178,43073,4029,13770,11828,1262,1,11,1,0,556
EMP00179,25156,3389,14422,4090,1785,0,13,5,0,302
EMP00180,39024,1357,22968,9665,1451,4,14,10,0,546
EMP00181,38723,1563,19867,7215,1216,3,7,8,116,472
EMP00182,41318,3200,18215,6039,1167,1,13,0,144,336
EMP00183,36903,4733,15988,7999,1643,4,11,4,0,499
EMP00184,37500,4504,12374,5537,1923,1,8,7,0,496
EMP00185,33149,3586,10224,3736,1611,4,0,6,0,571
EMP00186,35975,3807,20110,8217,1091,2,2,7,0,333
EMP00187,23546,1017,12072,6537,1120,3,9,3,0,314
EMP00188,37949,2931,12935,4791,1053,3,8,6,0,316
EMP00189,15107,4318,5128,3668,1570,0,12,9,0,593
EMP00190,17675,1836,7559,5087,1495,3,5,10,0,498
EMP00191,20550,2248,12163,2738,875,1,12,3,0,399
EMP00192,41371,4775,24397,10931,1424,3,8,8,0,337
EMP00193,33304,3644,18307,6994,1150,3,3,7,0,552
EMP00194,15338,4916,9006,4507,1471,4,14,5,0,505
EMP00195,49165,3399,24930,9601,1842,3,14,5,0,535
EMP00196,38271,1837,16988,8537,1378,4,9,6,0,503
EMP00197,35271,2682,12609,5840,1909,4,1,10,0,564
EMP00198,27495,3630,13529,3167,1275,5,4,7,0,449
EMP00199,17564,2312,6506,2116,1992,2,6,7,0,500
EMP00200,19877,3634,6069,4270,1125,4,1,10,0,429
EMP00201,27806,4091,9457,5439,1219,2,6,0,0,569
EMP00202,45190,4882,23093,7999,1649,3,4,5,0,349
EMP00203,49233,1965,19174,6535,1928,0,3,4,0,550
EMP00204,26822,1510,12233,4035,1222,3,8,1,0,503
EMP00205,21364,4486,11685,5031,1304,2,15,9,0,507
EMP00206,24253,4647,9546,6376,1823,0,5,6,0,445
EMP00207,46825,2600,23503,11291,1010,1,5,1,0,319
EMP00208,22318,3113,7435,3209,820,0,13,8,0,467
EMP00209,20611,3473,8421,3148,1766,0,5,3,0,356
EMP00210,31862,1876,16718,7447,1967,4,12,5,0,366
EMP00211,26030,4254,13578,5749,1184,4,9,2,0,513
EMP00212,30793,2142,17649,8951,1286,3,2,8,0,463
EMP00213,17446,1286,9009,3631,1561,1,15,4,0,423
EMP00214,37197,4065,15651,8183,1699,0,1,4,0,420
EMP00215,16152,2124,8027,3319,1735,1,0,8,0,597
EMP00216,45419,1534,15261,13554,1610,0,2,4,0,383
EMP00217,19236,1262,8464,2396,1361,0,10,3,0,400
EMP00218,46298,3562,18165,10499,1068,2,11,3,0,434
EMP00219,30204,1310,11070,6688,832,4,4,6,0,535
EMP00220,17371,1909,6871,4794,1802,4,8,2,0,401
EMP00221,26425,1352,11526,4414,934,2,11,1,0,372
EMP00222,33344,1573,17389,9807,1738,5,7,9,0,495
EMP00223,18303,2911,10849,1904,931,5,2,3,0,505
EMP00224,31807,2310,15194,5044,1953,2,8,9,164,326
EMP00225,33799,2003,17635,6511,1802,5,5,0,0,318
EMP00226,23598,4179,9271,2475,1691,2,13,3,0,561
EMP00227,36388,2737,18198,9691,819,1,9,8,0,365
EMP00228,23987,3995,9497,4434,1621,5,5,1,0,462
EMP00229,21725,3361,7898,3046,1224,1,4,8,0,374
EMP00230,21132,1430,11915,5261,1741,0,13,3,0,344
EMP00231,48009,4617,20752,7542,846,3,5,10,0,599
EMP00232,27227,1112,13882,6653,1737,1,0,8,0,476
EMP00233,47171,1715,24931,13263,1289,1,1,0,0,536
EMP00234,21918,3147,11372,2575,1019,4,7,0,0,541
EMP00235,42923,1634,21342,7060,1083,1,10,7,0,588
EMP00236,19532,2556,10825,4415,1392,2,1,2,0,510
EMP00237,17685,3756,9280,3653,1319,1,9,6,0,366
EMP00238,26112,3708,11451,6291,965,0,0,4,0,456
EMP00239,34719,4805,16843,4776,1231,2,3,5,0,488
EMP00240,37832,2795,17136,5845,1988,5,1,10,96,315
EMP00241,42742,3853,16076,11551,1570,3,11,5,0,393
EMP00242,23609,4853,7365,3430,1248,4,1,8,0,491
EMP00243,23653,3834,8619,6169,1196,0,10,7,0,569
EMP00244,29065,4929,13853,8585,1391,0,13,6,0,450
EMP00245,40681,3942,13942,8387,1061,4,7,10,0,340
EMP00246,30531,3444,15381,6672,1147,3,4,2,0,592
EMP00247,48434,1913,21602,6130,1172,4,0,10,0,489
EMP00248,25856,1203,13200,7607,1770,1,9,2,0,582
EMP00249,21295,2088,8318,5637,1179,0,3,5,0,472
EMP00250,28750,3489,13546,3850,851,0,15,6,0,558
EMP00251,23455,4926,11247,5095,1159,1,9,5,0,514
EMP00252,24716,3399,11159,6071,1883,1,7,3,0,385
EMP00253,19927,3001,10446,2229,880,2,2,6,0,378
EMP00254,20982,1438,11019,3714,1926,1,10,5,0,307
EMP00255,31852,3258,15783,8918,868,4,5,9,0,486
EMP00256,41404,1796,13373,12049,1304,4,14,0,0,390
EMP00257,31355,2230,16752,5249,1098,3,12,10,0,526
EMP00258,45303,1282,19043,6563,1902,0,13,9,0,365
EMP00259,34857,1884,12446,10157,1530,5,5,3,0,557
EMP00260,28898,2932,11865,4546,1507,5,13,9,0,363
EMP00261,16400,1567,5215,4060,1335,5,4,10,0,334
EMP00262,27394,2231,14833,7506,1752,3,5,3,0,470
EMP00263,30187,1198,16642,9009,1321,4,6,4,0,341
EMP00264,34989,3475,17234,9062,1786,2,0,10,0,533
EMP00265,45880,4067,21684,13067,1954,1,15,0,0,495
EMP00266,21663,3003,12123,3045,1307,3,11,8,0,434
EMP00267,37117,3876,11953,7188,1011,5,7,3,0,465
EMP00268,49782,1487,18173,9226,1301,4,9,4,0,314
EMP00269,27804,3624,8693,3561,1472,3,15,2,0,354
EMP00270,37412,2205,16448,4433,1401,3,8,7,0,492
EMP00271,48580,3220,23160,6260,1247,3,10,2,0,303
EMP00272,19937,4908,11704,3484,1732,2,8,8,0,409
EMP00273,19175,2852,11441,4378,1962,2,8,10,0,549
EMP00274,33308,1535,19001,5671,1926,1,10,7,0,574
EMP00275,27657,4070,8560,4724,1050,3,15,4,0,571
EMP00276,45787,4630,24820,9427,1991,3,15,5,0,397
EMP00277,43206,1125,25100,10211,1682,5,15,0,0,316
EMP00278,35090,4914,13693,7666,1827,5,12,7,0,329
EMP00279,49324,3622,20526,7312,1202,0,4,2,0,368
EMP00280,34066,2973,12229,9956,1953,5,1,0,0,403
EMP00281,49566,1609,18019,8439,1753,4,7,3,0,499
EMP00282,35846,2312,20610,7530,1157,5,5,7,0,539
EMP00283,32928,4287,14535,9802,1482,2,7,9,0,433
EMP00284,33374,1151,11415,3711,1794,0,2,1,0,461
EMP00285,46957,4759,14839,9938,1619,5,3,5,0,391
EMP00286,38207,3891,14690,4029,1587,1,0,0,0,489
EMP00287,33863,4769,14314,3397,832,0,0,7,0,358
EMP00288,44964,4880,17625,11392,1737,0,6,5,0,555
EMP00289,31577,4928,15636,7124,1434,5,7,8,0,408
EMP00290,35756,4072,15945,8430,1537,2,0,3,0,373
EMP00291,38846,4110,23159,11374,1675,4,3,6,0,381
EMP00292,31116,3494,9335,3434,1199,1,0,7,0,428
EMP00293,47793,3118,20704,9831,1866,0,9,7,0,439
EMP00294,30659,4714,9249,6620,1710,5,1,2,0,487
EMP00295,15640,2168,7820,3176,1799,1,7,7,0,422
EMP00296,44071,1353,22782,13148,867,3,7,8,0,315
EMP00297,19424,2840,7857,5450,1366,4,14,8,0,513
EMP00298,26453,3123,15750,3311,1829,3,0,6,0,544
EMP00299,38015,4944,12369,8235,1194,2,12,2,0,368
EMP00300,21048,1114,9277,5232,929,4,7,2,0,466
EMP00301,44377,3910,23350,8628,1667,2,14,9,0,443
EMP00302,29016,2159,13399,3396,1284,1,8,7,0,462
EMP00303,20683,3409,8389,3134,1122,4,1,10,0,343
EMP00304,39494,2974,20167,10390,1503,5,0,0,0,396
EMP00305,37612,4319,13863,6280,1781,2,7,9,0,375
EMP00306,25053,3402,14400,3818,1205,3,12,8,0,309
EMP00307,41960,4679,22553,10673,1849,4,6,0,0,478
EMP00308,38539,2403,18267,9004,1524,5,13,6,0,491
EMP00309,29038,4518,9796,5658,1755,5,15,7,0,390
EMP00310,36418,1030,21495,10834,1617,5,14,3,0,590
EMP00311,32985,3041,17512,6218,823,4,7,5,0,489
EMP00312,42394,3541,21300,4281,1298,3,9,0,0,406
EMP00313,38564,1053,12218,4838,1395,0,4,1,0,324
EMP00314,25685,4578,10510,3534,1310,3,2,2,0,328
EMP00315,23310,4198,7584,5438,1757,5,15,8,0,578
EMP00316,38676,3438,17691,6757,1221,4,7,5,0,406
EMP00317,45021,4371,16512,10912,1706,3,4,7,0,504
EMP00318,24876,2404,11223,4694,1196,4,14,6,0,415
EMP00319,22749,1181,8169,4909,1999,2,7,8,0,576
EMP00320,35405,1370,12243,6846,1719,4,7,0,0,407
EMP00321,31085,2487,13566,5684,1423,4,13,0,0,588
EMP00322,33635,3778,19430,5831,898,2,12,7,0,423
EMP00323,46071,3328,21978,10030,1954,3,14,9,0,565
EMP00324,46760,2057,27209,5343,959,0,3,5,0,599
EMP00325,36507,1048,18218,10255,1301,1,10,3,0,527
EMP00326,24683,1878,10611,5281,1725,2,4,3,0,440
EMP00327,16107,4504,6374,2192,1741,1,9,9,157,523
EMP00328,47000,2652,22402,8423,803,5,6,6,0,530
EMP00329,41127,4668,20939,11688,1663,3,1,6,0,491
EMP00330,49001,4602,16857,14159,1417,1,12,6,0,372
EMP00331,18982,3984,6164,5614,1140,4,5,6,0,416
EMP00332,25473,3622,14122,6277,857,2,9,3,0,525
EMP00333,39493,3076,20645,8405,1495,4,5,5,0,439
EMP00334,34174,3059,15961,6618,1264,1,15,1,0,500
EMP00335,36284,4201,20436,4226,865,3,3,6,0,345
EMP00336,28930,1910,9676,6961,1359,0,4,6,0,463
EMP00337,48323,4192,21275,7158,845,2,4,5,0,301
EMP00338,29132,1487,11111,8211,1488,3,14,3,0,489
EMP00339,47314,3584,24271,5717,1012,1,1,9,0,412
EMP00340,43311,4647,21090,12448,1441,2,13,3,0,399
EMP00341,19712,4695,8182,2427,1057,2,4,6,0,377
EMP00342,30345,4253,10636,4013,1511,4,8,4,0,335
EMP00343,41637,3776,24184,4188,910,5,7,0,0,425
EMP00344,31422,1262,18329,4944,1881,3,2,4,0,342
EMP00345,37907,4778,11707,4140,1209,2,2,1,0,492
EMP00346,37104,4521,20502,4063,1054,0,7,6,0,377
EMP00347,29848,3425,17733,5019,1489,1,6,9,0,357
EMP00348,19121,3768,8276,3974,1738,1,10,5,0,396
EMP00349,38276,1794,19328,5966,1287,4,6,9,0,465
EMP00350,19872,3892,9170,4385,1501,3,6,4,0,593
EMP00351,19215,4353,6847,4449,1668,5,15,7,0,346
EMP00352,15019,4281,8762,3769,1001,3,0,3,0,328
EMP00353,28126,4401,14456,5753,1007,0,11,2,0,416
EMP00354,44298,2665,19489,12961,1194,0,12,7,0,336
EMP00355,40614,3161,21732,10186,855,1,1,5,0,405
EMP00356,40372,2417,20504,4984,1412,3,13,8,0,517
EMP00357,18877,1923,8476,5609,1539,1,13,7,0,503
EMP00358,17710,2695,7035,1942,1523,1,2,2,153,434
EMP00359,18351,3294,10244,2705,1719,4,0,6,0,354
EMP00360,16437,3942,6383,4062,954,2,6,8,0,301
EMP00361,32568,1249,16950,7142,1756,1,15,8,0,405
EMP00362,20786,3805,12233,5793,1405,1,13,3,0,562
EMP00363,20869,4284,11596,5417,1183,5,13,2,17,498
EMP00364,18632,3558,9076,3337,1000,4,11,4,0,341
EMP00365,42745,2020,17256,9546,1405,0,5,5,0,550
EMP00366,37021,4051,17099,8725,1700,5,15,9,0,310
EMP00367,31420,2520,11348,7690,1408,5,0,4,0,504
EMP00368,42177,3971,24465,5634,1266,5,5,1,112,598
EMP00369,27534,2556,8446,6909,984,4,9,10,0,371
EMP00370,19834,3994,10573,5521,819,4,4,5,0,586
EMP00371,15185,3264,7148,3270,847,3,2,10,0,577
EMP00372,46580,3902,17420,11017,1977,1,6,9,0,479
EMP00373,15076,1304,7491,3844,1860,2,0,5,0,590
EMP00374,24856,4238,8639,3003,912,3,6,3,0,355
EMP00375,38847,2142,20218,4575,1157,5,3,2,0,597
EMP00376,25675,3117,8582,3223,1372,3,12,5,0,481
EMP00377,33595,4779,14653,9129,1065,3,5,6,0,371
EMP00378,29159,2314,10416,5226,859,3,12,1,0,305
EMP00379,21742,3544,12634,4622,1593,5,0,4,0,588
EMP00380,17456,2773,5323,3985,1929,2,4,6,0,337
EMP00381,25709,3876,10449,5862,966,1,9,1,0,385
EMP00382,29341,1692,14225,4840,843,3,4,2,0,558
EMP00383,37272,4522,14185,10591,1789,1,7,6,0,435
EMP00384,25139,1661,14838,3777,824,4,11,7,0,521
EMP00385,19367,3559,8558,5753,875,1,5,4,0,501
EMP00386,30832,1336,14378,8947,1175,1,4,0,0,401
EMP00387,33752,2843,13561,4901,1266,0,6,8,0,420
EMP00388,36394,1442,20602,8643,1917,5,13,7,0,323
EMP00389,38191,3856,13843,4181,828,4,9,5,0,567
EMP00390,24969,1045,10777,4683,1155,4,12,4,90,331
EMP00391,45770,2150,14079,13516,896,5,11,2,0,395
EMP00392,28406,1488,16845,8095,936,3,2,9,23,574
EMP00393,48164,2338,15498,12029,1168,2,10,1,0,352
EMP00394,21233,3559,8003,6014,921,0,14,4,0,561
EMP00395,23423,1493,7758,3035,1603,1,13,4,0,438
EMP00396,37419,3678,19336,4463,894,3,2,1,0,441
EMP00397,25549,2204,10350,4055,1454,0,6,4,0,400
EMP00398,16460,4645,6399,2225,1982,4,2,9,0,340
EMP00399,17637,2357,5726,3287,1881,2,11,0,0,481
EMP00400,17456,1701,7896,3453,1333,5,9,9,0,543
EMP00401,37470,2690,12523,5585,1782,3,11,5,0,409
EMP00402,15300,4162,5697,3640,1917,5,2,7,0,466
EMP00403,47833,1341,15918,8471,1810,5,5,0,0,428
EMP00404,45659,1018,24944,4841,996,1,6,10,0,422
EMP00405,41287,4514,18170,10874,893,0,5,9,0,495
EMP00406,46392,1072,20038,8475,1915,4,6,8,0,366
EMP00407,15071,4893,6329,2754,1081,1,2,5,0,589
EMP00408,32268,3133,12669,7492,1572,4,14,6,0,456
EMP00409,38834,4254,19600,8412,1609,2,4,6,0,412
EMP00410,40591,3730,17592,6292,1027,5,7,1,0,337
EMP00411,36409,3823,15041,8246,1073,3,9,10,0,585
EMP00412,41961,2950,16051,8327,1085,5,0,0,0,469
EMP00413,45301,3332,26413,6077,1506,0,11,0,0,539
EMP00414,28444,3759,13324,5528,1304,2,3,9,0,348
EMP00415,23572,3856,9188,5536,1603,5,4,6,0,399
EMP00416,41122,2773,18715,10376,1621,3,0,10,0,401
EMP00417,42292,3970,21825,6048,987,5,9,8,0,558
EMP00418,40526,3115,22411,7592,1862,4,0,6,0,590
EMP00419,21051,3090,8747,2167,1882,4,9,6,71,329
EMP00420,19337,4801,9967,2063,1668,3,5,6,0,447
EMP00421,15615,1935,9018,4514,967,5,8,3,0,386
EMP00422,42620,4450,16567,12200,1040,4,15,10,47,570
EMP00423,38688,1896,13486,9355,1074,0,1,10,0,522
EMP00424,31646,1425,16171,7474,1129,4,0,7,0,557
EMP00425,15186,2842,8210,2868,1799,1,12,9,0,439
EMP00426,15944,4401,9251,3212,1151,5,8,4,0,582
EMP00427,31753,3895,19004,6404,1895,5,6,4,0,384
EMP00428,43431,4714,25890,7472,1805,0,13,2,0,373
EMP00429,29751,3212,10600,8650,1564,0,9,8,0,450
EMP00430,28384,4706,9851,3182,1173,3,11,10,0,580
EMP00431,30326,2742,15043,5232,1081,5,11,7,0,460
EMP00432,31049,2141,12367,8041,1350,2,11,4,0,374
EMP00433,49379,1683,24983,7221,805,5,13,5,0,337
EMP00434,22172,1731,12753,5499,1471,5,5,2,0,560
EMP00435,46768,3377,15495,6094,875,0,13,1,0,433
EMP00436,45086,1138,19720,5692,1866,3,10,4,0,487
EMP00437,39559,2022,14068,10154,1781,0,10,6,0,348
EMP00438,48804,4609,19771,12094,1508,0,14,4,0,456
EMP00439,38470,2038,15066,8884,1747,5,10,10,0,466
EMP00440,32429,2887,18672,6757,1438,5,1,2,0,567
EMP00441,44764,1677,23865,12165,842,0,5,7,0,427
EMP00442,39439,3056,17810,8329,1613,1,3,2,0,543
EMP00443,19045,2174,8008,3123,840,1,0,2,0,503
EMP00444,37729,2511,16899,10588,1307,4,8,6,0,387
EMP00445,29429,2088,11137,3003,1750,5,13,3,0,366
EMP00446,42338,4857,25176,7153,858,5,5,4,0,548
EMP00447,23444,1907,8737,5280,1937,1,14,8,0,455
EMP00448,47461,1122,15080,8576,1374,5,14,4,0,491
EMP00449,33351,3382,17832,5555,1824,5,2,8,0,583
EMP00450,35605,3423,13965,3928,1097,1,4,2,0,359
